# CD-14 mock instrument dump fixture: indices, top NSE stocks, one NFO expiry ladder (frozen, deterministic tokens)
instrument_token,exchange,tradingsymbol,name,instrument_type,segment,expiry,strike,lot_size,tick_size
100051,NSE,BAJAJ-AUTO,BAJAJ-AUTO,EQ,NSE,,,1,0.05
100052,NSE,HDFCLIFE,HDFCLIFE,EQ,NSE,,,1,0.05
100053,NSE,AMBUJACEM,AMBUJACEM,EQ,NSE,,,1,0.05
100054,NSE,PNB,PNB,EQ,NSE,,,1,0.05
100055,NSE,BANKBARODA,BANKBARODA,EQ,NSE,,,1,0.05
100056,NSE,GAIL,GAIL,EQ,NSE,,,1,0.05
100057,NSE,CHOLAFIN,CHOLAFIN,EQ,NSE,,,1,0.05
100058,NSE,TATAPOWER,TATAPOWER,EQ,NSE,,,1,0.05
100059,NSE,ABB,ABB,EQ,NSE,,,1,0.05
100060,NSE,BPCL,BPCL,EQ,NSE,,,1,0.05
100061,NSE,PFC,PFC,EQ,NSE,,,1,0.05
100062,NSE,GODREJCP,GODREJCP,EQ,NSE,,,1,0.05
100063,NSE,HINDALCO,HINDALCO,EQ,NSE,,,1,0.05
100064,NSE,INDUSINDBK,INDUSINDBK,EQ,NSE,,,1,0.05
100065,NSE,TECHM,TECHM,EQ,NSE,,,1,0.05
100066,NSE,EICHERMOT,EICHERMOT,EQ,NSE,,,1,0.05
100067,NSE,RECLTD,RECLTD,EQ,NSE,,,1,0.05
100068,NSE,DRREDDY,DRREDDY,EQ,NSE,,,1,0.05
100069,NSE,SHREECEM,SHREECEM,EQ,NSE,,,1,0.05
100070,NSE,CIPLA,CIPLA,EQ,NSE,,,1,0.05
100071,NSE,UNITDSPR,UNITDSPR,EQ,NSE,,,1,0.05
100072,NSE,HAVELLS,HAVELLS,EQ,NSE,,,1,0.05
100073,NSE,DABUR,DABUR,EQ,NSE,,,1,0.05
100074,NSE,APOLLOHOSP,APOLLOHOSP,EQ,NSE,,,1,0.05
100075,NSE,MANKIND,MANKIND,EQ,NSE,,,1,0.05
100076,NSE,TVSMOTOR,TVSMOTOR,EQ,NSE,,,1,0.05
100077,NSE,HEROMOTOCO,HEROMOTOCO,EQ,NSE,,,1,0.05
100078,NSE,ADANIPOWER,ADANIPOWER,EQ,NSE,,,1,0.05
100079,NSE,ATGL,ATGL,EQ,NSE,,,1,0.05
100080,NSE,LODHA,LODHA,EQ,NSE,,,1,0.05
100081,NSE,DIVISLAB,DIVISLAB,EQ,NSE,,,1,0.05
100082,NSE,JINDALSTEL,JINDALSTEL,EQ,NSE,,,1,0.05
100083,NSE,BRITANNIA,BRITANNIA,EQ,NSE,,,1,0.05
100084,NSE,MOTHERSON,MOTHERSON,EQ,NSE,,,1,0.05
100085,NSE,CGPOWER,CGPOWER,EQ,NSE,,,1,0.05
100086,NSE,ICICIPRULI,ICICIPRULI,EQ,NSE,,,1,0.05
100087,NSE,TORNTPHARM,TORNTPHARM,EQ,NSE,,,1,0.05
100088,NSE,SHRIRAMFIN,SHRIRAMFIN,EQ,NSE,,,1,0.05
100089,NSE,INDIGO,INDIGO,EQ,NSE,,,1,0.05
100090,NSE,POLYCAB,POLYCAB,EQ,NSE,,,1,0.05
100091,NSE,CUMMINSIND,CUMMINSIND,EQ,NSE,,,1,0.05
100092,NSE,BOSCHLTD,BOSCHLTD,EQ,NSE,,,1,0.05
100093,NSE,NHPC,NHPC,EQ,NSE,,,1,0.05
100094,NSE,SRF,SRF,EQ,NSE,,,1,0.05
100095,NSE,IDBI,IDBI,EQ,NSE,,,1,0.05
500001,NFO,NIFTY26JUNFUT,NIFTY,FUT,NFO-FUT,2026-06-25,,75,0.05
500002,NFO,NIFTY2661618000CE,NIFTY,CE,NFO-OPT,2026-06-16,18000,75,0.05
500003,NFO,NIFTY2661618000PE,NIFTY,PE,NFO-OPT,2026-06-16,18000,75,0.05
500004,NFO,NIFTY2661618025CE,NIFTY,CE,NFO-OPT,2026-06-16,18025,75,0.05
500005,NFO,NIFTY2661618025PE,NIFTY,PE,NFO-OPT,2026-06-16,18025,75,0.05
500006,NFO,NIFTY2661618050CE,NIFTY,CE,NFO-OPT,2026-06-16,18050,75,0.05
500007,NFO,NIFTY2661618050PE,NIFTY,PE,NFO-OPT,2026-06-16,18050,75,0.05
500008,NFO,NIFTY2661618075CE,NIFTY,CE,NFO-OPT,2026-06-16,18075,75,0.05
500009,NFO,NIFTY2661618075PE,NIFTY,PE,NFO-OPT,2026-06-16,18075,75,0.05
500010,NFO,NIFTY2661618100CE,NIFTY,CE,NFO-OPT,2026-06-16,18100,75,0.05
500011,NFO,NIFTY2661618100PE,NIFTY,PE,NFO-OPT,2026-06-16,18100,75,0.05
500012,NFO,NIFTY2661618125CE,NIFTY,CE,NFO-OPT,2026-06-16,18125,75,0.05
500013,NFO,NIFTY2661618125PE,NIFTY,PE,NFO-OPT,2026-06-16,18125,75,0.05
500014,NFO,NIFTY2661618150CE,NIFTY,CE,NFO-OPT,2026-06-16,18150,75,0.05
500015,NFO,NIFTY2661618150PE,NIFTY,PE,NFO-OPT,2026-06-16,18150,75,0.05
500016,NFO,NIFTY2661618175CE,NIFTY,CE,NFO-OPT,2026-06-16,18175,75,0.05
500017,NFO,NIFTY2661618175PE,NIFTY,PE,NFO-OPT,2026-06-16,18175,75,0.05
500018,NFO,NIFTY2661618200CE,NIFTY,CE,NFO-OPT,2026-06-16,18200,75,0.05
500019,NFO,NIFTY2661618200PE,NIFTY,PE,NFO-OPT,2026-06-16,18200,75,0.05
500020,NFO,NIFTY2661618225CE,NIFTY,CE,NFO-OPT,2026-06-16,18225,75,0.05
500021,NFO,NIFTY2661618225PE,NIFTY,PE,NFO-OPT,2026-06-16,18225,75,0.05
500022,NFO,NIFTY2661618250CE,NIFTY,CE,NFO-OPT,2026-06-16,18250,75,0.05
500023,NFO,NIFTY2661618250PE,NIFTY,PE,NFO-OPT,2026-06-16,18250,75,0.05
500024,NFO,NIFTY2661618275CE,NIFTY,CE,NFO-OPT,2026-06-16,18275,75,0.05
500025,NFO,NIFTY2661618275PE,NIFTY,PE,NFO-OPT,2026-06-16,18275,75,0.05
500026,NFO,NIFTY2661618300CE,NIFTY,CE,NFO-OPT,2026-06-16,18300,75,0.05
500027,NFO,NIFTY2661618300PE,NIFTY,PE,NFO-OPT,2026-06-16,18300,75,0.05
500028,NFO,NIFTY2661618325CE,NIFTY,CE,NFO-OPT,2026-06-16,18325,75,0.05
500029,NFO,NIFTY2661618325PE,NIFTY,PE,NFO-OPT,2026-06-16,18325,75,0.05
500030,NFO,NIFTY2661618350CE,NIFTY,CE,NFO-OPT,2026-06-16,18350,75,0.05
500031,NFO,NIFTY2661618350PE,NIFTY,PE,NFO-OPT,2026-06-16,18350,75,0.05
500032,NFO,NIFTY2661618375CE,NIFTY,CE,NFO-OPT,2026-06-16,18375,75,0.05
500033,NFO,NIFTY2661618375PE,NIFTY,PE,NFO-OPT,2026-06-16,18375,75,0.05
500034,NFO,NIFTY2661618400CE,NIFTY,CE,NFO-OPT,2026-06-16,18400,75,0.05
500035,NFO,NIFTY2661618400PE,NIFTY,PE,NFO-OPT,2026-06-16,18400,75,0.05
500036,NFO,NIFTY2661618425CE,NIFTY,CE,NFO-OPT,2026-06-16,18425,75,0.05
500037,NFO,NIFTY2661618425PE,NIFTY,PE,NFO-OPT,2026-06-16,18425,75,0.05
500038,NFO,NIFTY2661618450CE,NIFTY,CE,NFO-OPT,2026-06-16,18450,75,0.05
500039,NFO,NIFTY2661618450PE,NIFTY,PE,NFO-OPT,2026-06-16,18450,75,0.05
500040,NFO,NIFTY2661618475CE,NIFTY,CE,NFO-OPT,2026-06-16,18475,75,0.05
500041,NFO,NIFTY2661618475PE,NIFTY,PE,NFO-OPT,2026-06-16,18475,75,0.05
500042,NFO,NIFTY2661618500CE,NIFTY,CE,NFO-OPT,2026-06-16,18500,75,0.05
500043,NFO,NIFTY2661618500PE,NIFTY,PE,NFO-OPT,2026-06-16,18500,75,0.05
500044,NFO,NIFTY2661618525CE,NIFTY,CE,NFO-OPT,2026-06-16,18525,75,0.05
500045,NFO,NIFTY2661618525PE,NIFTY,PE,NFO-OPT,2026-06-16,18525,75,0.05
500046,NFO,NIFTY2661618550CE,NIFTY,CE,NFO-OPT,2026-06-16,18550,75,0.05
500047,NFO,NIFTY2661618550PE,NIFTY,PE,NFO-OPT,2026-06-16,18550,75,0.05
500048,NFO,NIFTY2661618575CE,NIFTY,CE,NFO-OPT,2026-06-16,18575,75,0.05
500049,NFO,NIFTY2661618575PE,NIFTY,PE,NFO-OPT,2026-06-16,18575,75,0.05
500050,NFO,NIFTY2661618600CE,NIFTY,CE,NFO-OPT,2026-06-16,18600,75,0.05
500051,NFO,NIFTY2661618600PE,NIFTY,PE,NFO-OPT,2026-06-16,18600,75,0.05
500052,NFO,NIFTY2661618625CE,NIFTY,CE,NFO-OPT,2026-06-16,18625,75,0.05
500053,NFO,NIFTY2661618625PE,NIFTY,PE,NFO-OPT,2026-06-16,18625,75,0.05
500054,NFO,NIFTY2661618650CE,NIFTY,CE,NFO-OPT,2026-06-16,18650,75,0.05
500055,NFO,NIFTY2661618650PE,NIFTY,PE,NFO-OPT,2026-06-16,18650,75,0.05
500056,NFO,NIFTY2661618675CE,NIFTY,CE,NFO-OPT,2026-06-16,18675,75,0.05
500057,NFO,NIFTY2661618675PE,NIFTY,PE,NFO-OPT,2026-06-16,18675,75,0.05
500058,NFO,NIFTY2661618700CE,NIFTY,CE,NFO-OPT,2026-06-16,18700,75,0.05
500059,NFO,NIFTY2661618700PE,NIFTY,PE,NFO-OPT,2026-06-16,18700,75,0.05
500060,NFO,NIFTY2661618725CE,NIFTY,CE,NFO-OPT,2026-06-16,18725,75,0.05
500061,NFO,NIFTY2661618725PE,NIFTY,PE,NFO-OPT,2026-06-16,18725,75,0.05
500062,NFO,NIFTY2661618750CE,NIFTY,CE,NFO-OPT,2026-06-16,18750,75,0.05
500063,NFO,NIFTY2661618750PE,NIFTY,PE,NFO-OPT,2026-06-16,18750,75,0.05
500064,NFO,NIFTY2661618775CE,NIFTY,CE,NFO-OPT,2026-06-16,18775,75,0.05
500065,NFO,NIFTY2661618775PE,NIFTY,PE,NFO-OPT,2026-06-16,18775,75,0.05
500066,NFO,NIFTY2661618800CE,NIFTY,CE,NFO-OPT,2026-06-16,18800,75,0.05
500067,NFO,NIFTY2661618800PE,NIFTY,PE,NFO-OPT,2026-06-16,18800,75,0.05
500068,NFO,NIFTY2661618825CE,NIFTY,CE,NFO-OPT,2026-06-16,18825,75,0.05
500069,NFO,NIFTY2661618825PE,NIFTY,PE,NFO-OPT,2026-06-16,18825,75,0.05
500070,NFO,NIFTY2661618850CE,NIFTY,CE,NFO-OPT,2026-06-16,18850,75,0.05
500071,NFO,NIFTY2661618850PE,NIFTY,PE,NFO-OPT,2026-06-16,18850,75,0.05
500072,NFO,NIFTY2661618875CE,NIFTY,CE,NFO-OPT,2026-06-16,18875,75,0.05
500073,NFO,NIFTY2661618875PE,NIFTY,PE,NFO-OPT,2026-06-16,18875,75,0.05
500074,NFO,NIFTY2661618900CE,NIFTY,CE,NFO-OPT,2026-06-16,18900,75,0.05
500075,NFO,NIFTY2661618900PE,NIFTY,PE,NFO-OPT,2026-06-16,18900,75,0.05
500076,NFO,NIFTY2661618925CE,NIFTY,CE,NFO-OPT,2026-06-16,18925,75,0.05
500077,NFO,NIFTY2661618925PE,NIFTY,PE,NFO-OPT,2026-06-16,18925,75,0.05
500078,NFO,NIFTY2661618950CE,NIFTY,CE,NFO-OPT,2026-06-16,18950,75,0.05
500079,NFO,NIFTY2661618950PE,NIFTY,PE,NFO-OPT,2026-06-16,18950,75,0.05
500080,NFO,NIFTY2661618975CE,NIFTY,CE,NFO-OPT,2026-06-16,18975,75,0.05
500081,NFO,NIFTY2661618975PE,NIFTY,PE,NFO-OPT,2026-06-16,18975,75,0.05
500082,NFO,NIFTY2661619000CE,NIFTY,CE,NFO-OPT,2026-06-16,19000,75,0.05
500083,NFO,NIFTY2661619000PE,NIFTY,PE,NFO-OPT,2026-06-16,19000,75,0.05
500084,NFO,NIFTY2661619025CE,NIFTY,CE,NFO-OPT,2026-06-16,19025,75,0.05
500085,NFO,NIFTY2661619025PE,NIFTY,PE,NFO-OPT,2026-06-16,19025,75,0.05
500086,NFO,NIFTY2661619050CE,NIFTY,CE,NFO-OPT,2026-06-16,19050,75,0.05
500087,NFO,NIFTY2661619050PE,NIFTY,PE,NFO-OPT,2026-06-16,19050,75,0.05
500088,NFO,NIFTY2661619075CE,NIFTY,CE,NFO-OPT,2026-06-16,19075,75,0.05
500089,NFO,NIFTY2661619075PE,NIFTY,PE,NFO-OPT,2026-06-16,19075,75,0.05
500090,NFO,NIFTY2661619100CE,NIFTY,CE,NFO-OPT,2026-06-16,19100,75,0.05
500091,NFO,NIFTY2661619100PE,NIFTY,PE,NFO-OPT,2026-06-16,19100,75,0.05
500092,NFO,NIFTY2661619125CE,NIFTY,CE,NFO-OPT,2026-06-16,19125,75,0.05
500093,NFO,NIFTY2661619125PE,NIFTY,PE,NFO-OPT,2026-06-16,19125,75,0.05
500094,NFO,NIFTY2661619150CE,NIFTY,CE,NFO-OPT,2026-06-16,19150,75,0.05
500095,NFO,NIFTY2661619150PE,NIFTY,PE,NFO-OPT,2026-06-16,19150,75,0.05
500096,NFO,NIFTY2661619175CE,NIFTY,CE,NFO-OPT,2026-06-16,19175,75,0.05
500097,NFO,NIFTY2661619175PE,NIFTY,PE,NFO-OPT,2026-06-16,19175,75,0.05
500098,NFO,NIFTY2661619200CE,NIFTY,CE,NFO-OPT,2026-06-16,19200,75,0.05
500099,NFO,NIFTY2661619200PE,NIFTY,PE,NFO-OPT,2026-06-16,19200,75,0.05
500100,NFO,NIFTY2661619225CE,NIFTY,CE,NFO-OPT,2026-06-16,19225,75,0.05
500101,NFO,NIFTY2661619225PE,NIFTY,PE,NFO-OPT,2026-06-16,19225,75,0.05
500102,NFO,NIFTY2661619250CE,NIFTY,CE,NFO-OPT,2026-06-16,19250,75,0.05
500103,NFO,NIFTY2661619250PE,NIFTY,PE,NFO-OPT,2026-06-16,19250,75,0.05
500104,NFO,NIFTY2661619275CE,NIFTY,CE,NFO-OPT,2026-06-16,19275,75,0.05
500105,NFO,NIFTY2661619275PE,NIFTY,PE,NFO-OPT,2026-06-16,19275,75,0.05
500106,NFO,NIFTY2661619300CE,NIFTY,CE,NFO-OPT,2026-06-16,19300,75,0.05
500107,NFO,NIFTY2661619300PE,NIFTY,PE,NFO-OPT,2026-06-16,19300,75,0.05
500108,NFO,NIFTY2661619325CE,NIFTY,CE,NFO-OPT,2026-06-16,19325,75,0.05
500109,NFO,NIFTY2661619325PE,NIFTY,PE,NFO-OPT,2026-06-16,19325,75,0.05
500110,NFO,NIFTY2661619350CE,NIFTY,CE,NFO-OPT,2026-06-16,19350,75,0.05
500111,NFO,NIFTY2661619350PE,NIFTY,PE,NFO-OPT,2026-06-16,19350,75,0.05
500112,NFO,NIFTY2661619375CE,NIFTY,CE,NFO-OPT,2026-06-16,19375,75,0.05
500113,NFO,NIFTY2661619375PE,NIFTY,PE,NFO-OPT,2026-06-16,19375,75,0.05
500114,NFO,NIFTY2661619400CE,NIFTY,CE,NFO-OPT,2026-06-16,19400,75,0.05
500115,NFO,NIFTY2661619400PE,NIFTY,PE,NFO-OPT,2026-06-16,19400,75,0.05
500116,NFO,NIFTY2661619425CE,NIFTY,CE,NFO-OPT,2026-06-16,19425,75,0.05
500117,NFO,NIFTY2661619425PE,NIFTY,PE,NFO-OPT,2026-06-16,19425,75,0.05
500118,NFO,NIFTY2661619450CE,NIFTY,CE,NFO-OPT,2026-06-16,19450,75,0.05
500119,NFO,NIFTY2661619450PE,NIFTY,PE,NFO-OPT,2026-06-16,19450,75,0.05
500120,NFO,NIFTY2661619475CE,NIFTY,CE,NFO-OPT,2026-06-16,19475,75,0.05
500121,NFO,NIFTY2661619475PE,NIFTY,PE,NFO-OPT,2026-06-16,19475,75,0.05
500122,NFO,NIFTY2661619500CE,NIFTY,CE,NFO-OPT,2026-06-16,19500,75,0.05
500123,NFO,NIFTY2661619500PE,NIFTY,PE,NFO-OPT,2026-06-16,19500,75,0.05
500124,NFO,NIFTY2661619525CE,NIFTY,CE,NFO-OPT,2026-06-16,19525,75,0.05
500125,NFO,NIFTY2661619525PE,NIFTY,PE,NFO-OPT,2026-06-16,19525,75,0.05
500126,NFO,NIFTY2661619550CE,NIFTY,CE,NFO-OPT,2026-06-16,19550,75,0.05
500127,NFO,NIFTY2661619550PE,NIFTY,PE,NFO-OPT,2026-06-16,19550,75,0.05
500128,NFO,NIFTY2661619575CE,NIFTY,CE,NFO-OPT,2026-06-16,19575,75,0.05
500129,NFO,NIFTY2661619575PE,NIFTY,PE,NFO-OPT,2026-06-16,19575,75,0.05
500130,NFO,NIFTY2661619600CE,NIFTY,CE,NFO-OPT,2026-06-16,19600,75,0.05
500131,NFO,NIFTY2661619600PE,NIFTY,PE,NFO-OPT,2026-06-16,19600,75,0.05
500132,NFO,NIFTY2661619625CE,NIFTY,CE,NFO-OPT,2026-06-16,19625,75,0.05
500133,NFO,NIFTY2661619625PE,NIFTY,PE,NFO-OPT,2026-06-16,19625,75,0.05
500134,NFO,NIFTY2661619650CE,NIFTY,CE,NFO-OPT,2026-06-16,19650,75,0.05
500135,NFO,NIFTY2661619650PE,NIFTY,PE,NFO-OPT,2026-06-16,19650,75,0.05
500136,NFO,NIFTY2661619675CE,NIFTY,CE,NFO-OPT,2026-06-16,19675,75,0.05
500137,NFO,NIFTY2661619675PE,NIFTY,PE,NFO-OPT,2026-06-16,19675,75,0.05
500138,NFO,NIFTY2661619700CE,NIFTY,CE,NFO-OPT,2026-06-16,19700,75,0.05
500139,NFO,NIFTY2661619700PE,NIFTY,PE,NFO-OPT,2026-06-16,19700,75,0.05
500140,NFO,NIFTY2661619725CE,NIFTY,CE,NFO-OPT,2026-06-16,19725,75,0.05
500141,NFO,NIFTY2661619725PE,NIFTY,PE,NFO-OPT,2026-06-16,19725,75,0.05
500142,NFO,NIFTY2661619750CE,NIFTY,CE,NFO-OPT,2026-06-16,19750,75,0.05
500143,NFO,NIFTY2661619750PE,NIFTY,PE,NFO-OPT,2026-06-16,19750,75,0.05
500144,NFO,NIFTY2661619775CE,NIFTY,CE,NFO-OPT,2026-06-16,19775,75,0.05
500145,NFO,NIFTY2661619775PE,NIFTY,PE,NFO-OPT,2026-06-16,19775,75,0.05
500146,NFO,NIFTY2661619800CE,NIFTY,CE,NFO-OPT,2026-06-16,19800,75,0.05
500147,NFO,NIFTY2661619800PE,NIFTY,PE,NFO-OPT,2026-06-16,19800,75,0.05
500148,NFO,NIFTY2661619825CE,NIFTY,CE,NFO-OPT,2026-06-16,19825,75,0.05
500149,NFO,NIFTY2661619825PE,NIFTY,PE,NFO-OPT,2026-06-16,19825,75,0.05
500150,NFO,NIFTY2661619850CE,NIFTY,CE,NFO-OPT,2026-06-16,19850,75,0.05
500151,NFO,NIFTY2661619850PE,NIFTY,PE,NFO-OPT,2026-06-16,19850,75,0.05
500152,NFO,NIFTY2661619875CE,NIFTY,CE,NFO-OPT,2026-06-16,19875,75,0.05
500153,NFO,NIFTY2661619875PE,NIFTY,PE,NFO-OPT,2026-06-16,19875,75,0.05
500154,NFO,NIFTY2661619900CE,NIFTY,CE,NFO-OPT,2026-06-16,19900,75,0.05
500155,NFO,NIFTY2661619900PE,NIFTY,PE,NFO-OPT,2026-06-16,19900,75,0.05
500156,NFO,NIFTY2661619925CE,NIFTY,CE,NFO-OPT,2026-06-16,19925,75,0.05
500157,NFO,NIFTY2661619925PE,NIFTY,PE,NFO-OPT,2026-06-16,19925,75,0.05
500158,NFO,NIFTY2661619950CE,NIFTY,CE,NFO-OPT,2026-06-16,19950,75,0.05
500159,NFO,NIFTY2661619950PE,NIFTY,PE,NFO-OPT,2026-06-16,19950,75,0.05
500160,NFO,NIFTY2661619975CE,NIFTY,CE,NFO-OPT,2026-06-16,19975,75,0.05
500161,NFO,NIFTY2661619975PE,NIFTY,PE,NFO-OPT,2026-06-16,19975,75,0.05
500162,NFO,NIFTY2661620000CE,NIFTY,CE,NFO-OPT,2026-06-16,20000,75,0.05
500163,NFO,NIFTY2661620000PE,NIFTY,PE,NFO-OPT,2026-06-16,20000,75,0.05
500164,NFO,NIFTY2661620025CE,NIFTY,CE,NFO-OPT,2026-06-16,20025,75,0.05
500165,NFO,NIFTY2661620025PE,NIFTY,PE,NFO-OPT,2026-06-16,20025,75,0.05
500166,NFO,NIFTY2661620050CE,NIFTY,CE,NFO-OPT,2026-06-16,20050,75,0.05
500167,NFO,NIFTY2661620050PE,NIFTY,PE,NFO-OPT,2026-06-16,20050,75,0.05
500168,NFO,NIFTY2661620075CE,NIFTY,CE,NFO-OPT,2026-06-16,20075,75,0.05
500169,NFO,NIFTY2661620075PE,NIFTY,PE,NFO-OPT,2026-06-16,20075,75,0.05
500170,NFO,NIFTY2661620100CE,NIFTY,CE,NFO-OPT,2026-06-16,20100,75,0.05
500171,NFO,NIFTY2661620100PE,NIFTY,PE,NFO-OPT,2026-06-16,20100,75,0.05
500172,NFO,NIFTY2661620125CE,NIFTY,CE,NFO-OPT,2026-06-16,20125,75,0.05
500173,NFO,NIFTY2661620125PE,NIFTY,PE,NFO-OPT,2026-06-16,20125,75,0.05
500174,NFO,NIFTY2661620150CE,NIFTY,CE,NFO-OPT,2026-06-16,20150,75,0.05
500175,NFO,NIFTY2661620150PE,NIFTY,PE,NFO-OPT,2026-06-16,20150,75,0.05
500176,NFO,NIFTY2661620175CE,NIFTY,CE,NFO-OPT,2026-06-16,20175,75,0.05
500177,NFO,NIFTY2661620175PE,NIFTY,PE,NFO-OPT,2026-06-16,20175,75,0.05
500178,NFO,NIFTY2661620200CE,NIFTY,CE,NFO-OPT,2026-06-16,20200,75,0.05
500179,NFO,NIFTY2661620200PE,NIFTY,PE,NFO-OPT,2026-06-16,20200,75,0.05
500180,NFO,NIFTY2661620225CE,NIFTY,CE,NFO-OPT,2026-06-16,20225,75,0.05
500181,NFO,NIFTY2661620225PE,NIFTY,PE,NFO-OPT,2026-06-16,20225,75,0.05
500182,NFO,NIFTY2661620250CE,NIFTY,CE,NFO-OPT,2026-06-16,20250,75,0.05
500183,NFO,NIFTY2661620250PE,NIFTY,PE,NFO-OPT,2026-06-16,20250,75,0.05
500184,NFO,NIFTY2661620275CE,NIFTY,CE,NFO-OPT,2026-06-16,20275,75,0.05
500185,NFO,NIFTY2661620275PE,NIFTY,PE,NFO-OPT,2026-06-16,20275,75,0.05
500186,NFO,NIFTY2661620300CE,NIFTY,CE,NFO-OPT,2026-06-16,20300,75,0.05
500187,NFO,NIFTY2661620300PE,NIFTY,PE,NFO-OPT,2026-06-16,20300,75,0.05
500188,NFO,NIFTY2661620325CE,NIFTY,CE,NFO-OPT,2026-06-16,20325,75,0.05
500189,NFO,NIFTY2661620325PE,NIFTY,PE,NFO-OPT,2026-06-16,20325,75,0.05
500190,NFO,NIFTY2661620350CE,NIFTY,CE,NFO-OPT,2026-06-16,20350,75,0.05
500191,NFO,NIFTY2661620350PE,NIFTY,PE,NFO-OPT,2026-06-16,20350,75,0.05
500192,NFO,NIFTY2661620375CE,NIFTY,CE,NFO-OPT,2026-06-16,20375,75,0.05
500193,NFO,NIFTY2661620375PE,NIFTY,PE,NFO-OPT,2026-06-16,20375,75,0.05
500194,NFO,NIFTY2661620400CE,NIFTY,CE,NFO-OPT,2026-06-16,20400,75,0.05
500195,NFO,NIFTY2661620400PE,NIFTY,PE,NFO-OPT,2026-06-16,20400,75,0.05
